Flight No.,,Launch site,Payload,Payload mass,Orbit,Customer,Launch outcome,Version Booster,Booster landing,Date,Time
83,,F9 B5,SpaceX CRS-20,"1,977 kg",LEO,SpaceX,"Success
",F9 B5,"Success
",18 March 2020,15:05
84,,F9 B5,Starlink,"15,600 kg",LEO,NASA,"Success
",F9 B5,"Success
",22 April 2020,04:50
85,,F9 B5,Starlink,"15,600 kg",LEO,SpaceX,"Success
",F9 B5,"Success
",30 May 2020,12:16
86,,F9 B5[,Crew Dragon Demo-2,"12,530 kg",LEO,SpaceX,"Success
",F9 B5[,"Success
",4 June 2020,19:30
87,,F9 B5,Starlink,"15,600 kg",LEO,U.S. Space Force,"Success
",F9 B5,"Success
",13 June 2020,19:22
88,,F9 B5,Starlink,"15,410 kg",LEO,Republic of Korea Army,"Success
",F9 B5,"Success
",30 June 2020,01:25
89,,F9 B5,GPS III,"4,311 kg",MEO,SpaceX,"Success
",F9 B5,"Success
",20 July 2020,09:21
90,,F9 B5B1058.2544,ANASIS-II,"5,000–6,000 kg",GTO,SpaceX,"Success
",F9 B5B1058.2544,"Success
",7 August 2020,20:10:46
91,,F9 B5,Starlink,"14,932 kg",LEO,CONAE,"Success
",F9 B5,"Success
",18 August 2020,21:30
92,,F9 B5B1049.6544,Starlink,"~15,440 kg",LEO,SpaceX,"Success
",F9 B5B1049.6544,"Success
",30 August 2020,05:12
93,,F9 B5,SAOCOM 1B,"3,130 kg",SSO,SpaceX,"Success
",F9 B5,"Success
",3 September 2020,14:31
94,,F9 B5B1060.2563,Starlink,"15,600 kg",LEO,SpaceX,"Success
",F9 B5B1060.2563,"Success
",6 October 2020,23:18
95,,F9 B5B1058.3565,Starlink,"15,600 kg",LEO,SpaceX,"Success
",F9 B5B1058.3565,"Success
",18 October 2020,12:46:14
96,,F9 B5B1051.6568,Starlink,"15,600 kg",LEO,USSF,"Success
",F9 B5B1051.6568,"Success
",24 October 2020,11:29:34
97,,F9 B5,Starlink,"15,600 kg",LEO,NASA,"Success
",F9 B5,"Success
",5 November 2020,12:25:57
98,,F9 B5,GPS III,"4,311 kg",MEO,NASA,"Success
",F9 B5,"Success
",16 November 2020,15:31:34
99,,F9 B5[,Crew-1,"~12,500 kg",LEO,SpaceX,"Success
",F9 B5[,"Success
",21 November 2020,23:24:23
100,,F9 B5,Sentinel-6 Michael Freilich (Jason-CS A),"1,192 kg",LEO,NASA,"Success
",F9 B5,"Success
",25 November 2020,00:27
101,,F9 B5 ♺[,Starlink,"15,600 kg",LEO,Sirius XM,"Success
",F9 B5 ♺[,"Success
",6 December 2020,17:17:08
102,,F9 B5 ♺[,SpaceX CRS-21,"2,972 kg",LEO,NRO,"Success
",F9 B5 ♺[,"Success
",13 December 2020,02:13
103,,F9 B5 ♺,SXM-7,"7,000 kg",GTO,Türksat,"Success
",F9 B5 ♺,"Success
",19 December 2020,16:17:08
104,,F9 B5 ♺,NROL-108,C,LEO,SpaceX,"Success
",F9 B5 ♺,"Success
",8 January 2021,17:30:00
105,,F9 B5,Türksat 5A,"3,500 kg",GTO,SpaceX,"Success
",F9 B5,"Success
",20 January 2021,14:00:00
106,,F9 B5B1051.8609,Starlink,"15,600 kg",LEO,NASA,Success,F9 B5B1051.8609,Success,24 January 2021,02:15
1,,F9 B5B1058.5613,Transporter-1,"~5,000 kg",SSO,NASA,Success,F9 B5B1058.5613,Success,4 June 2010,13:02
2,,F9 v1.07B0003.18,Dragon Spacecraft Qualification Unit,0,LEO,NASA,"Success
",F9 v1.07B0003.18,"Success
",4 June 2010,15:00
3,,F9 v1.07B0004.18,Dragon,0,LEO,NASA,"Success
",F9 v1.07B0004.18,"Success
",8 December 2010,18:45
4,,F9 v1.07B0005.18,Dragon,525 kg,LEO,MDA,Success,F9 v1.07B0005.18,Success,22 May 2012,15:43
5,,F9 v1.07B0006.18,SpaceX CRS-1,"4,700 kg",LEO,SES,Success,F9 v1.07B0006.18,Success,8 October 2012,07:44
6,,F9 v1.07B0007.18,SpaceX CRS-2,"4,877 kg",LEO,Thaicom,Success,F9 v1.07B0007.18,Success,1 March 2013,00:35
7,,F9 v1.17B10038,CASSIOPE,500 kg,Polar orbit,NASA,"Success
",F9 v1.17B10038,"Success
",29 September 2013,15:10
8,,F9 v1.1,SES-8,"3,170 kg",GTO,Orbcomm,Success,,Success,3 December 2013,16:00
9,,F9 v1.1,Thaicom 6,"3,325 kg",GTO,AsiaSat,Success,,Success,6 January 2014,22:41
10,,F9 v1.1,SpaceX CRS-3,"2,296 kg",LEO,AsiaSat,Success,,Success,18 April 2014,22:06
11,,F9 v1.1,Orbcomm-OG2,"1,316 kg",LEO,NASA,Success,,Success,14 July 2014,19:25
12,,F9 v1.1,AsiaSat 8,"4,535 kg",GTO,NASA,Success,,Success,5 August 2014,15:15
13,,F9 v1.1[,AsiaSat 6,"4,428 kg",GTO,USAF,"Success
",F9 v1.1[,"Success
",7 September 2014,08:00
14,,F9 v1.1[,SpaceX CRS-4,"2,216 kg",LEO,ABS,"Success
",F9 v1.1[,"Success
",21 September 2014,05:00
15,,F9 v1.1[,SpaceX CRS-5,"2,395 kg",LEO,NASA,"Success
",F9 v1.1[,"Success
",10 January 2015,05:52
16,,F9 v1.1[,DSCOVR,570 kg,HEO,,"Success
",F9 v1.1[,"Success
",11 February 2015,09:47
17,,F9 v1.1[,ABS-3A,"4,159 kg",GTO,NASA,Failure,F9 v1.1[,Failure,2 March 2015,23:03
18,,F9 v1.1[,SpaceX CRS-6,"1,898 kg",LEO,Orbcomm,"Success
",F9 v1.1[,"Success
",14 April 2015,03:50
19,,F9 v1.1[,TürkmenÄlem 52°E / MonacoSAT,"4,707 kg",GTO,NASA,"Success
",F9 v1.1[,"Success
",27 April 2015,20:10
20,,F9 v1.1[,SpaceX CRS-7,"1,952 kg",LEO,SES,"Success
",F9 v1.1[,"Success
",28 June 2015,23:03
21,,F9 FT[,Orbcomm-OG2,"2,034 kg",LEO,NASA,Success,F9 FT[,Success,22 December 2015,14:21
22,,F9 v1.1[,Jason-3,553 kg,LEO,SKY Perfect JSAT Group,"Success
",F9 v1.1[,"Success
",17 January 2016,01:29
23,,F9 FT[,SES-9,"5,271 kg",GTO,Thaicom,"Success
",F9 FT[,"Success
",4 March 2016,18:42
24,,F9 FT[,SpaceX CRS-8,"3,136 kg",LEO,ABS,"Success
",F9 FT[,"Success
",8 April 2016,23:35
25,,F9 FT[,JCSAT-14,"4,696 kg",GTO,NASA,"Success
",F9 FT[,"Success
",6 May 2016,20:43
26,,F9 FT[,Thaicom 8,"3,100 kg",GTO,SKY Perfect JSAT Group,"Success
",F9 FT[,"Success
",27 May 2016,05:21
27,,F9 FT[,ABS-2A,"3,600 kg",GTO,Iridium Communications,"Success
",F9 FT[,"Success
",15 June 2016,21:39
28,,F9 FT[,SpaceX CRS-9,"2,257 kg",LEO,NASA,"Success
",F9 FT[,"Success
",18 July 2016,14:29
29,,F9 FT[,JCSAT-16,"4,600 kg",GTO,EchoStar,"Success
",F9 FT[,"Success
",14 August 2016,04:45
30,,F9 FT[,Iridium NEXT,"9,600 kg",Polar,SES,Success,F9 FT[,Success,14 January 2017,05:26
31,,F9 FT[,SpaceX CRS-10,"2,490 kg",LEO,NRO,"Success
",F9 FT[,"Success
",19 February 2017,17:54
32,,F9 FT[,EchoStar 23,"5,600 kg",GTO,Inmarsat,"Success
",F9 FT[,"Success
",16 March 2017,14:39
33,,F9 FT♺[,SES-10,"5,300 kg",GTO,NASA,"Success
",F9 FT♺[,"Success
",30 March 2017,06:00
34,,F9 FT[,NROL-76,C,LEO,Bulsatcom,"Success
",F9 FT[,"Success
",1 May 2017,22:27
35,,F9 FT[,Inmarsat-5 F4,"6,070 kg",GTO,Iridium Communications,"Success
",F9 FT[,"Success
",15 May 2017,11:15
36,,F9 FT[,SpaceX CRS-11,"2,708 kg",LEO,Intelsat,"Success
",F9 FT[,"Success
",3 June 2017,23:21
37,,F9 FTB1029.2195,BulgariaSat-1,"3,669 kg",GTO,NASA,"Success
",F9 FTB1029.2195,"Success
",23 June 2017,21:07
38,,F9 FT[,Iridium NEXT,"9,600 kg",LEO,NSPO,"Success
",F9 FT[,"Success
",25 June 2017,19:10
39,,F9 FT[,Intelsat 35e,"6,761 kg",GTO,USAF,"Success
",F9 FT[,"Success
",5 July 2017,20:25
40,,F9 B4[,SpaceX CRS-12,"3,310 kg",LEO,Iridium Communications,"Success
",F9 B4[,"Success
",14 August 2017,23:38
41,,F9 FT[,Formosat-5,475 kg,SSO,SES S.A.,"Success
",F9 FT[,"Success
",24 August 2017,16:31
42,,F9 B4[,Boeing X-37B,"4,990 kg",LEO,KT Corporation,"Success
",F9 B4[,"Success
",7 September 2017,18:51
43,,F9 B4[,Iridium NEXT,"9,600 kg",Polar,NASA,"Success
",F9 B4[,"Success
",9 October 2017,14:00
44,,F9 FTB1031.2220,SES-11,"5,200 kg",GTO,Iridium Communications,Success,F9 FTB1031.2220,Success,11 October 2017,12:37
45,,F9 B4[,Koreasat 5A,"3,500 kg",GTO,Northrop Grumman,Success,F9 B4[,Success,30 October 2017,22:53:00
46,,F9 FTB1035.2227,SpaceX CRS-13,"2,205 kg",LEO,SES,Success,F9 FTB1035.2227,Success,15 December 2017,19:34
47,,F9 FTB1036.2227,Iridium NEXT,"9,600 kg",Polar,Hisdesat,Success,F9 FTB1036.2227,Success,23 December 2017,15:36
48,,F9 B4[,Zuma,C,LEO,Hispasat,Success,F9 B4[,Success,8 January 2018,01:27
49,,F9 FTB1032.2245,GovSat-1,"4,230 kg",GTO,Iridium Communications,Success,F9 FTB1032.2245,Success,31 January 2018,01:00
50,,F9 FTB1038.2268,Paz,"2,150 kg",SSO,NASA,Success,F9 FTB1038.2268,Success,22 February 2018,21:25
51,,F9 B4[,Hispasat 30W-6,"6,092 kg",GTO,NASA,Success,F9 B4[,Success,6 March 2018,14:17
52,,F9 B4B1041.2268,Iridium NEXT,"9,600 kg",Polar,Thales-Alenia,Success,F9 B4B1041.2268,Success,30 March 2018,05:33
53,,F9 B4B1039.2292,SpaceX CRS-14,"2,647 kg",LEO,Iridium Communications,Success,F9 B4B1039.2292,Success,2 April 2018,14:14
54,,F9 B4[,Transiting Exoplanet Survey Satellite,362 kg,HEO,SES,Success,F9 B4[,Success,18 April 2018,20:30
55,,F9 B5311B1046.1268,Bangabandhu-1,"3,600 kg",GTO,NASA,Success,F9 B5311B1046.1268,Success,11 May 2018,22:51
56,,F9 B4B1043.2322,Iridium NEXT,"6,460 kg",Polar,Telesat,Success,F9 B4B1043.2322,Success,22 May 2018,20:14
57,,F9 B4B1040.2268,SES-12,"5,384 kg",GTO,Iridium Communications,Success,F9 B4B1040.2268,Success,4 June 2018,19:47
58,,F9 B4B1045.2336,SpaceX CRS-15,"2,697 kg",LEO,Telkom Indonesia,Success,F9 B4B1045.2336,Success,29 June 2018,04:45
59,,F9 B5,Telstar 19V,"7,075 kg",GTO,Telesat,Success,F9 B5,Success,22 July 2018,09:42
60,,F9 B5349B1048[,Iridium NEXT,"9,600 kg",Polar,CONAE,Success,F9 B5349B1048[,Success,25 July 2018,05:50
61,,F9 B5B1046.2354,Merah Putih,"5,800 kg",GTO,Es'hailSat,Success,F9 B5B1046.2354,Success,7 August 2018,11:39
62,,F9 B5[,Telstar 18V,"7,060 kg",GTO,Spaceflight Industries,Success,F9 B5[,Success,10 September 2018,05:18
63,,F9 B5B1048.2364,SAOCOM 1A,"3,000 kg",SSO,NASA,"Success
",F9 B5B1048.2364,"Success
",8 October 2018,04:45
64,,F9 B5B1047.2268,Es'hail 2,"5,300 kg",GTO,USAF,Success,F9 B5B1047.2268,Success,15 November 2018,02:22
65,,F9 B5B1046.3268,SSO-A,"~4,000 kg",SSO,Iridium Communications,"Success
",F9 B5B1046.3268,"Success
",3 December 2018,20:46
66,,F9 B5[,SpaceX CRS-16,"2,500 kg",LEO,PSN,"Success
",F9 B5[,"Success
",5 December 2018,18:34:05
67,,F9 B5[,GPS III,"4,400 kg",MEO,NASA,"Success
",F9 B5[,"Success
",23 December 2018,18:16
68,,F9 B5B1049.2397,Iridium NEXT,"9,600 kg",Polar,NASA,"Success
",F9 B5B1049.2397,"Success
",11 January 2019,13:51
69,,F9 B5B1048.3399,Nusantara Satu,"4,850 kg",GTO,SpaceX,"Success
",F9 B5B1048.3399,"Success
",22 February 2019,15:31
70,,F9 B5[]413,Crew Dragon Demo-1,"12,055 kg",LEO,Canadian Space Agency,"Success
",F9 B5[]413,"Success
",2 March 2019,01:45
71,,F9 B5[,SpaceX CRS-17,"2,495 kg",LEO,NASA,"Success
",F9 B5[,"Success
",4 May 2019,07:49
72,,F9 B5B1049.3434,Starlink,"13,620 kg",LEO,Spacecom,"Success
",F9 B5B1049.3434,"Success
",24 May 2019,06:48
73,,F9 B5B1051.2420,RADARSAT Constellation,"4,200 kg",SSO,SpaceX,"Success
",F9 B5B1051.2420,"Success
",12 June 2019,02:30
74,,F9 B5B1056.2465,SpaceX CRS-18,"2,268 kg",LEO,NASA,"Success
",F9 B5B1056.2465,"Success
",25 July 2019,14:17
75,,F9 B5B1047.3472,AMOS-17,"6,500 kg",GTO,Sky Perfect JSAT,"Success
",F9 B5B1047.3472,"Success
",6 August 2019,22:01
76,,F9 B5,Starlink,"15,600 kg",LEO,SpaceX,"Success
",F9 B5,"Success
",11 November 2019,23:23
77,,F9 B5[,SpaceX CRS-19,"2,617 kg",LEO,NASA,"Success
",F9 B5[,"Success
",5 December 2019,14:56
78,,F9 B5B1056.3482,JCSat-18,"6,956 kg",GTO,SpaceX,"Success
",F9 B5B1056.3482,"Success
",17 December 2019,17:29
79,,F9 B5,Starlink,"15,600 kg",LEO,SpaceX,"Success
",F9 B5,"Success
",7 January 2020,00:10
80,,F9 B5,Crew Dragon in-flight abort test,"12,050 kg",Sub-orbital,NASA,"Success
",F9 B5,"Success
",19 January 2020,02:19:21
81,,F9 B5,Starlink,"15,600 kg",LEO,SpaceX,"Success
",F9 B5,"Success
",29 January 2020,15:30
82,,F9 B5,Starlink,"15,600 kg",LEO,SpaceX,"Success
",F9 B5,"Success
",17 February 2020,14:07
83,,F9 B5,SpaceX CRS-20,"1,977 kg",LEO,NASA,"Success
",F9 B5,"Success
",7 March 2020,15:05
84,,F9 B5,Starlink,"15,600 kg",LEO,SpaceX,"Success
",F9 B5,"Success
",18 March 2020,04:50
85,,F9 B5,Starlink,"15,600 kg",LEO,SpaceX,"Success
",F9 B5,"Success
",22 April 2020,12:16
86,,F9 B5[,Crew Dragon Demo-2,"12,530 kg",LEO,U.S. Space Force,"Success
",F9 B5[,"Success
",30 May 2020,19:30
87,,F9 B5,Starlink,"15,600 kg",LEO,Republic of Korea Army,"Success
",F9 B5,"Success
",4 June 2020,19:22
88,,F9 B5,Starlink,"15,410 kg",LEO,SpaceX,"Success
",F9 B5,"Success
",13 June 2020,01:25
89,,F9 B5,GPS III,"4,311 kg",MEO,SpaceX,"Success
",F9 B5,"Success
",30 June 2020,09:21
90,,F9 B5B1058.2544,ANASIS-II,"5,000–6,000 kg",GTO,CONAE,"Success
",F9 B5B1058.2544,"Success
",20 July 2020,20:10:46
91,,F9 B5,Starlink,"14,932 kg",LEO,SpaceX,"Success
",F9 B5,"Success
",7 August 2020,21:30
92,,F9 B5B1049.6544,Starlink,"~15,440 kg",LEO,SpaceX,"Success
",F9 B5B1049.6544,"Success
",18 August 2020,05:12
93,,F9 B5,SAOCOM 1B,"3,130 kg",SSO,SpaceX,"Success
",F9 B5,"Success
",30 August 2020,14:31
94,,F9 B5B1060.2563,Starlink,"15,600 kg",LEO,SpaceX,"Success
",F9 B5B1060.2563,"Success
",3 September 2020,23:18
95,,F9 B5B1058.3565,Starlink,"15,600 kg",LEO,USSF,"Success
",F9 B5B1058.3565,"Success
",6 October 2020,12:46:14
96,,F9 B5B1051.6568,Starlink,"15,600 kg",LEO,NASA,"Success
",F9 B5B1051.6568,"Success
",18 October 2020,11:29:34
97,,F9 B5,Starlink,"15,600 kg",LEO,NASA,"Success
",F9 B5,"Success
",24 October 2020,12:25:57
98,,F9 B5,GPS III,"4,311 kg",MEO,SpaceX,"Success
",F9 B5,"Success
",5 November 2020,15:31:34
99,,F9 B5[,Crew-1,"~12,500 kg",LEO,NASA,"Success
",F9 B5[,"Success
",16 November 2020,23:24:23
100,,F9 B5,Sentinel-6 Michael Freilich (Jason-CS A),"1,192 kg",LEO,Sirius XM,"Success
",F9 B5,"Success
",21 November 2020,00:27
101,,F9 B5 ♺[,Starlink,"15,600 kg",LEO,NRO,"Success
",F9 B5 ♺[,"Success
",25 November 2020,17:17:08
102,,F9 B5 ♺[,SpaceX CRS-21,"2,972 kg",LEO,Türksat,"Success
",F9 B5 ♺[,"Success
",6 December 2020,02:13
103,,F9 B5 ♺,SXM-7,"7,000 kg",GTO,SpaceX,"Success
",F9 B5 ♺,"Success
",13 December 2020,16:17:08
104,,F9 B5 ♺,NROL-108,C,LEO,,"Success
",F9 B5 ♺,"Success
",19 December 2020,17:30:00
105,,F9 B5,Türksat 5A,"3,500 kg",GTO,SpaceX,"Success
",F9 B5,"Success
",8 January 2021,14:00:00
106,,F9 B5B1051.8609,Starlink,"15,600 kg",LEO,SpaceX,"Success
",F9 B5B1051.8609,"Success
",20 January 2021,02:15
1,,F9 B5B1058.5613,Transporter-1,"~5,000 kg",SSO,SpaceX,"Success
",F9 B5B1058.5613,"Success
",24 January 2021,13:02
1,,F9 B5 ♺[,Starlink,"15,600 kg",LEO,SpaceX,"Success
",F9 B5 ♺[,"Success
",4 June 2010,15:00
2,,F9 B5 ♺,Starlink,"15,600 kg",LEO,SpaceX,"Success
",F9 B5 ♺,"Success
",8 December 2010,06:19
3,,F9 B5 ♺[,Starlink,"15,600 kg",LEO,SpaceX,"Success
",F9 B5 ♺[,"Success
",22 May 2012,03:59:37
4,,F9 B5 ♺[,Starlink,"15,600 kg",LEO,SpaceX,"Success
",F9 B5 ♺[,"Success
",8 October 2012,08:24
5,,F9 B5 ♺,Starlink,"15,600 kg",LEO,NASA,"Success
",F9 B5 ♺,"Success
",1 March 2013,08:13:29
6,,F9 B5B1060.6643,Starlink,"15,600 kg",LEO,SpaceX,"Success
",F9 B5B1060.6643,"Success
",29 September 2013,10:01
7,,F9 B5 ♺,Starlink,"15,600 kg",LEO,SpaceX,"Success
",F9 B5 ♺,"Success
",3 December 2013,08:28
8,,F9 B5B1061.2647,Crew-2,"~13,000 kg",LEO,SpaceX,"Success
",F9 B5B1061.2647,"Success
",6 January 2014,16:34
9,,F9 B5B1060.7652,Starlink,"15,600 kg",LEO,SpaceX,"Success
",F9 B5B1060.7652,"Success
",18 April 2014,9:49
10,,F9 B5B1049.9655,Starlink,"15,600 kg",LEO,SpaceX,"Success
",F9 B5B1049.9655,"Success
",14 July 2014,03:44
11,,F9 B5B1051.10657,Starlink,"15,600 kg",LEO,NASA,"Success
",F9 B5B1051.10657,"Success
",5 August 2014,19:01
12,,F9 B5B1058.8660,Starlink,"~14,000 kg",LEO,Sirius XM,"Success
",F9 B5B1058.8660,"Success
",7 September 2014,06:42
13,,F9 B5B1063.2665,Starlink,"15,600 kg",LEO,,,F9 B5B1063.2665,,21 September 2014,22:56
14,,F9 B5B1067.1668,SpaceX CRS-22,"3,328 kg",LEO,,,F9 B5B1067.1668,,10 January 2015,18:59
15,,F9 B5,SXM-8,"7,000 kg",GTO,,,F9 B5,,11 February 2015,17:29
16,,,,,,,,,,2 March 2015,
17,,,,,,,,,,14 April 2015,
18,,,,,,,,,,27 April 2015,
19,,,,,,,,,,28 June 2015,
20,,,,,,,,,,22 December 2015,
21,,,,,,,,,,17 January 2016,
22,,,,,,,,,,4 March 2016,
23,,,,,,,,,,8 April 2016,
24,,,,,,,,,,6 May 2016,
25,,,,,,,,,,27 May 2016,
26,,,,,,,,,,15 June 2016,
27,,,,,,,,,,18 July 2016,
28,,,,,,,,,,14 August 2016,
29,,,,,,,,,,14 January 2017,
30,,,,,,,,,,19 February 2017,
31,,,,,,,,,,16 March 2017,
32,,,,,,,,,,30 March 2017,
33,,,,,,,,,,1 May 2017,
34,,,,,,,,,,15 May 2017,
35,,,,,,,,,,3 June 2017,
36,,,,,,,,,,23 June 2017,
37,,,,,,,,,,25 June 2017,
38,,,,,,,,,,5 July 2017,
39,,,,,,,,,,14 August 2017,
40,,,,,,,,,,24 August 2017,
41,,,,,,,,,,7 September 2017,
42,,,,,,,,,,9 October 2017,
43,,,,,,,,,,11 October 2017,
44,,,,,,,,,,30 October 2017,
45,,,,,,,,,,15 December 2017,
46,,,,,,,,,,23 December 2017,
47,,,,,,,,,,8 January 2018,
48,,,,,,,,,,31 January 2018,
49,,,,,,,,,,22 February 2018,
50,,,,,,,,,,6 March 2018,
51,,,,,,,,,,30 March 2018,
52,,,,,,,,,,2 April 2018,
53,,,,,,,,,,18 April 2018,
54,,,,,,,,,,11 May 2018,
55,,,,,,,,,,22 May 2018,
56,,,,,,,,,,4 June 2018,
57,,,,,,,,,,29 June 2018,
58,,,,,,,,,,22 July 2018,
59,,,,,,,,,,25 July 2018,
60,,,,,,,,,,7 August 2018,
61,,,,,,,,,,10 September 2018,
62,,,,,,,,,,8 October 2018,
63,,,,,,,,,,15 November 2018,
64,,,,,,,,,,3 December 2018,
65,,,,,,,,,,5 December 2018,
66,,,,,,,,,,23 December 2018,
67,,,,,,,,,,11 January 2019,
68,,,,,,,,,,22 February 2019,
69,,,,,,,,,,2 March 2019,
70,,,,,,,,,,4 May 2019,
71,,,,,,,,,,24 May 2019,
72,,,,,,,,,,12 June 2019,
73,,,,,,,,,,25 July 2019,
74,,,,,,,,,,6 August 2019,
75,,,,,,,,,,11 November 2019,
76,,,,,,,,,,5 December 2019,
77,,,,,,,,,,17 December 2019,
78,,,,,,,,,,7 January 2020,
79,,,,,,,,,,19 January 2020,
80,,,,,,,,,,29 January 2020,
81,,,,,,,,,,17 February 2020,
82,,,,,,,,,,7 March 2020,
83,,,,,,,,,,18 March 2020,
84,,,,,,,,,,22 April 2020,
85,,,,,,,,,,30 May 2020,
86,,,,,,,,,,4 June 2020,
87,,,,,,,,,,13 June 2020,
88,,,,,,,,,,30 June 2020,
89,,,,,,,,,,20 July 2020,
90,,,,,,,,,,7 August 2020,
91,,,,,,,,,,18 August 2020,
92,,,,,,,,,,30 August 2020,
93,,,,,,,,,,3 September 2020,
94,,,,,,,,,,6 October 2020,
95,,,,,,,,,,18 October 2020,
96,,,,,,,,,,24 October 2020,
97,,,,,,,,,,5 November 2020,
98,,,,,,,,,,16 November 2020,
99,,,,,,,,,,21 November 2020,
100,,,,,,,,,,25 November 2020,
101,,,,,,,,,,6 December 2020,
102,,,,,,,,,,13 December 2020,
103,,,,,,,,,,19 December 2020,
104,,,,,,,,,,8 January 2021,
105,,,,,,,,,,20 January 2021,
106,,,,,,,,,,24 January 2021,
1,,,,,,,,,,4 February 2021,
2,,,,,,,,,,16 February 2021,
3,,,,,,,,,,4 March 2021,
4,,,,,,,,,,11 March 2021,
5,,,,,,,,,,14 March 2021,
6,,,,,,,,,,24 March 2021,
7,,,,,,,,,,7 April 2021,
8,,,,,,,,,,23 April 2021,
9,,,,,,,,,,29 April 2021,
10,,,,,,,,,,4 May 2021,
11,,,,,,,,,,9 May 2021,
12,,,,,,,,,,15 May 2021,
13,,,,,,,,,,26 May 2021,
14,,,,,,,,,,3 June 2021,
15,,,,,,,,,,6 June 2021,
16,,,,,,,,,,,
17,,,,,,,,,,,
18,,,,,,,,,,,
19,,,,,,,,,,,
20,,,,,,,,,,,
21,,,,,,,,,,,
22,,,,,,,,,,,
23,,,,,,,,,,,
24,,,,,,,,,,,
25,,,,,,,,,,,
26,,,,,,,,,,,
27,,,,,,,,,,,
28,,,,,,,,,,,
29,,,,,,,,,,,
30,,,,,,,,,,,
31,,,,,,,,,,,
32,,,,,,,,,,,
33,,,,,,,,,,,
34,,,,,,,,,,,
35,,,,,,,,,,,
36,,,,,,,,,,,
37,,,,,,,,,,,
38,,,,,,,,,,,
39,,,,,,,,,,,
40,,,,,,,,,,,
41,,,,,,,,,,,
42,,,,,,,,,,,
43,,,,,,,,,,,
44,,,,,,,,,,,
45,,,,,,,,,,,
46,,,,,,,,,,,
47,,,,,,,,,,,
48,,,,,,,,,,,
49,,,,,,,,,,,
50,,,,,,,,,,,
51,,,,,,,,,,,
52,,,,,,,,,,,
53,,,,,,,,,,,
54,,,,,,,,,,,
55,,,,,,,,,,,
56,,,,,,,,,,,
57,,,,,,,,,,,
58,,,,,,,,,,,
59,,,,,,,,,,,
60,,,,,,,,,,,
61,,,,,,,,,,,
62,,,,,,,,,,,
63,,,,,,,,,,,
64,,,,,,,,,,,
65,,,,,,,,,,,
66,,,,,,,,,,,
67,,,,,,,,,,,
68,,,,,,,,,,,
69,,,,,,,,,,,
70,,,,,,,,,,,
71,,,,,,,,,,,
72,,,,,,,,,,,
73,,,,,,,,,,,
74,,,,,,,,,,,
75,,,,,,,,,,,
76,,,,,,,,,,,
77,,,,,,,,,,,
78,,,,,,,,,,,
79,,,,,,,,,,,
80,,,,,,,,,,,
81,,,,,,,,,,,
82,,,,,,,,,,,
83,,,,,,,,,,,
84,,,,,,,,,,,
85,,,,,,,,,,,
86,,,,,,,,,,,
87,,,,,,,,,,,
88,,,,,,,,,,,
89,,,,,,,,,,,
90,,,,,,,,,,,
91,,,,,,,,,,,
92,,,,,,,,,,,
93,,,,,,,,,,,
94,,,,,,,,,,,
95,,,,,,,,,,,
96,,,,,,,,,,,
97,,,,,,,,,,,
98,,,,,,,,,,,
99,,,,,,,,,,,
100,,,,,,,,,,,
101,,,,,,,,,,,
102,,,,,,,,,,,
103,,,,,,,,,,,
104,,,,,,,,,,,
105,,,,,,,,,,,
106,,,,,,,,,,,
107,,,,,,,,,,,
108,,,,,,,,,,,
109,,,,,,,,,,,
110,,,,,,,,,,,
111,,,,,,,,,,,
112,,,,,,,,,,,
113,,,,,,,,,,,
114,,,,,,,,,,,
115,,,,,,,,,,,
116,,,,,,,,,,,
117,,,,,,,,,,,
118,,,,,,,,,,,
119,,,,,,,,,,,
120,,,,,,,,,,,
121,,,,,,,,,,,
